a	0 a
giở	gi ow3
giởi	gi owi3
giởm	gi owm3
giởn	gi own3
giỡ	gi ow4
giỡi	gi owi4
giỡm	gi owm4
giỡn	gi own4
giợ	gi ow5
giợi	gi owi5
giợm	gi owm5
giợn	gi own5
giợp	gi owp5
giợt	gi owt5
giụ	gi u5
giụa	gi ua5
giục	gi uc5
giụi	gi ui5
giụm	gi um5
giụn	gi un5
giụng	gi ung5
giụp	gi up5
giụt	gi ut5
giủ	gi u3
giủa	gi ua3
giủi	gi ui3
giủm	gi um3
giủn	gi un3
giủng	gi ung3
giứ	gi uw1
giứa	gi uwa1
giức	gi uwc1
giứi	gi uwi1
giứm	gi uwm1
giứn	gi uwn1
giứng	gi uwng1
giứt	gi uwt1
giứu	gi uwu1
giừ	gi uw2
giừa	gi uwa2
giừi	gi uwi2
giừm	gi uwm2
giừn	gi uwn2
giừng	gi uwng2
giừu	gi uwu2
giử	gi uw3
giửa	gi uwa3
giửi	gi uwi3
giửm	gi uwm3
giửn	gi uwn3
giửng	gi uwng3
giửu	gi uwu3
giữ	gi uw4
giữa	gi uwa4
giữi	gi uwi4
giữm	gi uwm4
giữn	gi uwn4
giững	gi uwng4
giữu	gi uwu4
giự	gi uw5
giựa	gi uwa5
giực	gi uwc5
giựi	gi uwi5
giựm	gi uwm5
giựn	gi uwn5
giựng	gi uwng5
giựt	gi uwt5
giựu	gi uwu5
giỳ	gi y2
giỵ	gi y5
giỷ	gi y3
giỹ	gi y4
go	g o
goa	g oa
goai	g oai
goam	g oam
goan	g oan
goang	g oang
goanh	g oanh
goao	g oao
goay	g oay
goe	g oe
goem	g oem
goen	g oen
goeo	g oeo
goi	g oi
gom	g om
gon	g on
gong	g ong
goong	g oong
goà	g oa2
goài	g oai2
goàm	g oam2
goàn	g oan2
goàng	g oang2
goành	g oanh2
goào	g oao2
goày	g oay2
goá	g oa1
goác	g oac1
goách	g oach1
goái	g oai1
goám	g oam1
goán	g oan1
goáng	g oang1
goánh	g oanh1
goáo	g oao1
goáp	g oap1
goát	g oat1
goáy	g oay1
goã	g oa4
goãi	g oai4
goãm	g oam4
goãn	g oan4
goãng	g oang4
goãnh	g oanh4
goão	g oao4
goãy	g oay4
goè	g oe2
goèm	g oem2
goèn	g oen2
goèo	g oeo2
goé	g oe1
goém	g oem1
goén	g oen1
goéo	g oeo1
goét	g oet1
goòng	g oong2
goóc	g ooc1
goóng	g oong1
goõng	g oong4
goăm	g oawm
goăn	g oawn
goăng	g oawng
goạ	g oa5
goạc	g oac5
goạch	g oach5
goại	g oai5
goạm	g oam5
goạn	g oan5
goạng	g oang5
goạnh	g oanh5
goạo	g oao5
goạp	g oap5
goạt	g oat5
goạy	g oay5
goả	g oa3
goải	g oai3
goảm	g oam3
goản	g oan3
goảng	g oang3
goảnh	g oanh3
goảo	g oao3
goảy	g oay3
goắc	g oawc1
goắm	g oawm1
goắn	g oawn1
goắng	g oawng1
goắt	g oawt1
goằm	g oawm2
goằn	g oawn2
goằng	g oawng2
goẳm	g oawm3
goẳn	g oawn3
goẳng	g oawng3
goẵm	g oawm4
goẵn	g oawn4
goẵng	g oawng4
goặc	g oawc5
goặm	g oawm5
goặn	g oawn5
goặng	g oawng5
goặt	g oawt5
goẹ	g oe5
goẹm	g oem5
goẹn	g oen5
goẹo	g oeo5
goẹt	g oet5
goẻ	g oe3
goẻm	g oem3
goẻn	g oen3
goẻo	g oeo3
goẽ	g oe4
goẽm	g oem4
goẽn	g oen4
goẽo	g oeo4
goọc	g ooc5
goọng	g oong5
goỏng	g oong3
gu	g u
gua	g ua
guai	g uai
guan	g uan
gue	g ue
guen	g uen
gueo	g ueo
gui	g ui
guinh	g uinh
gum	g um
gun	g un
gung	g ung
guon	g uon
guong	g uong
guy	g uy
guya	g uya
guyn	g uyn
guynh	g uynh
guyu	g uyu
guyên	g uyeen
guyến	g uyeen1
guyết	g uyeet1
guyền	g uyeen2
guyển	g uyeen3
guyễn	g uyeen4
guyện	g uyeen5
guyệt	g uyeet5
guách	g uach1
guát	g uat1
guân	g uaan
guâng	g uaang
guây	g uaay
guép	g uep1
guê	g uee
guênh	g ueenh
guích	g uich1
guót	g uot1
guôi	g uobi
guôm	g uobm
guôn	g uobn
guông	g uobng
guý	g uy1
guýa	g uya1
guých	g uych1
guýn	g uyn1
guýnh	g uynh1
guýp	g uyp1
guýt	g uyt1
guýu	g uyu1
guăm	g uawm
guơ	g uow
guấn	g uaan1
guấng	g uaang1
guất	g uaat1
guấy	g uaay1
guần	g uaan2
guầng	g uaang2
guầy	g uaay2
guẩn	g uaan3
guẩng	g uaang3
guẩy	g uaay3
guẫn	g uaan4
guẫng	g uaang4
guẫy	g uaay4
guận	g uaan5
guậng	g uaang5
guật	g uaat5
guậy	g uaay5
guế	g uee1
guếch	g ueech1
guếnh	g ueenh1
guề	g uee2
guềnh	g ueenh2
guể	g uee3
guểnh	g ueenh3
guễ	g uee4
guễnh	g ueenh4
guệ	g uee5
guệch	g ueech5
guệnh	g ueenh5
guốc	g uobc1
guối	g uobi1
guốm	g uobm1
guốn	g uobn1
guống	g uobng1
guốp	g uobp1
guốt	g uobt1
guồi	g uobi2
guồm	g uobm2
guồn	g uobn2
guồng	g uobng2
guổi	g uobi3
guổm	g uobm3
guổn	g uobn3
guổng	g uobng3
guỗi	g uobi4
guỗm	g uobm4
guỗn	g uobn4
guỗng	g uobng4
guộc	g uobc5
guội	g uobi5
guộm	g uobm5
guộn	g uobn5
guộng	g uobng5
guộp	g uobp5
guột	g uobt5
guớ	g uow1
guớt	g uowt1
guờ	g uow2
guở	g uow3
guỡ	g uow4
guợ	g uow5
guỳ	g uy2
guỳa	g uya2
guỳn	g uyn2
guỳnh	g uynh2
guỳu	g uyu2
guỵ	g uy5
guỵa	g uya5
guỵch	g uych5
guỵn	g uyn5
guỵnh	g uynh5
guỵp	g uyp5
guỵt	g uyt5
guỵu	g uyu5
guỷ	g uy3
guỷa	g uya3
guỷn	g uyn3
guỷnh	g uynh3
guỷu	g uyu3
guỹ	g uy4
guỹa	g uya4
guỹn	g uyn4
guỹnh	g uynh4
guỹu	g uyu4
gà	g a2
gài	g ai2
gàm	g am2
gàn	g an2
gàng	g ang2
gành	g anh2
gào	g ao2
gàu	g au2
gày	g ay2
gá	g a1
gác	g ac1
gách	g ach1
gái	g ai1
gám	g am1
gán	g an1
gáng	g ang1
gánh	g anh1
gáo	g ao1
gáp	g ap1
gát	g at1
gáu	g au1
gáy	g ay1
gâm	g aam
gân	g aan
gâng	g aang
gâu	g aau
gây	g aay
gã	g a4
gãi	g ai4
gãm	g am4
gãn	g an4
gãng	g ang4
gãnh	g anh4
gão	g ao4
gãu	g au4
gãy	g ay4
gét	g et1
gêm	g eem
gên	g een
gì	gi i2
gìa	g ia2
gìm	g im2
gìn	gi in2
gình	g inh2
gìu	g iu2
gí	gi i1
gía	g ia1
gích	g ich1
gím	g im1
gín	gi in1
gính	g inh1
gíp	g ip1
gít	g it1
gíu	g iu1
gò	g o2
gòi	g oi2
gòm	g om2
gòn	g on2
gòng	g ong2
gó	g o1
góa	g oa1
góc	g oc1
gói	g oi1
góm	g om1
gón	g on1
góng	g ong1
góp	g op1
gót	g ot1
gô	g ob
gôi	g obi
gôm	g obm
gôn	g obn
gông	g obng
gõ	g o4
gõi	g oi4
gõm	g om4
gõn	g on4
gõng	g ong4
gù	g u2
gùa	g ua2
gùi	g ui2
gùm	g um2
gùn	g un2
gùng	g ung2
gú	g u1
gúa	g ua1
gúc	g uc1
gúi	g ui1
gúm	g um1
gún	g un1
gúng	g ung1
gúp	g up1
gút	g ut1
găm	g awm
găn	g awn
găng	g awng
gĩ	gi i4
gĩa	g ia4
gĩm	g im4
gĩn	gi in4
gĩnh	g inh4
gĩu	g iu4
gũ	g u4
gũa	g ua4
gũi	g ui4
gũm	g um4
gũn	g un4
gũng	g ung4
gơ	g ow
gơi	g owi
gơm	g owm
gơn	g own
gư	g uw
gưa	g uwa
gưi	g uwi
gưm	g uwm
gưn	g uwn
gưng	g uwng
gưu	g uwu
gươ	g uwow
gươi	g uwowi
gươm	g uwowm
gươn	g uwown
gương	g uwowng
gươu	g uwowu
gước	g uwowc1
gưới	g uwowi1
gướm	g uwowm1
gướn	g uwown1
gướng	g uwowng1
gướp	g uwowp1
gướt	g uwowt1
gướu	g uwowu1
gười	g uwowi2
gườm	g uwowm2
gườn	g uwown2
gường	g uwowng2
gườu	g uwowu2
gưởi	g uwowi3
gưởm	g uwowm3
gưởn	g uwown3
gưởng	g uwowng3
gưởu	g uwowu3
gưỡi	g uwowi4
gưỡm	g uwowm4
gưỡn	g uwown4
gưỡng	g uwowng4
gưỡu	g uwowu4
gược	g uwowc5
gượi	g uwowi5
gượm	g uwowm5
gượn	g uwown5
gượng	g uwowng5
gượp	g uwowp5
gượt	g uwowt5
gượu	g uwowu5
gạ	g a5
gạc	g ac5
gạch	g ach5
gại	g ai5
gạm	g am5
gạn	g an5
gạng	g ang5
gạnh	g anh5
gạo	g ao5
gạp	g ap5
gạt	g at5
gạu	g au5
gạy	g ay5
gả	g a3
gải	g ai3
gảm	g am3
gản	g an3
gảng	g ang3
gảnh	g anh3
gảo	g ao3
gảu	g au3
gảy	g ay3
gấc	g aac1
gấm	g aam1
gấn	g aan1
gấng	g aang1
gấp	g aap1
gất	g aat1
gấu	g aau1
gấy	g aay1
gầm	g aam2
gần	g aan2
gầng	g aang2
gầu	g aau2
gầy	g aay2
gẩm	g aam3
gẩn	g aan3
gẩng	g aang3
gẩu	g aau3
gẩy	g aay3
gẫm	g aam4
gẫn	g aan4
gẫng	g aang4
gẫu	g aau4
gẫy	g aay4
gậc	g aac5
gậm	g aam5
gận	g aan5
gậng	g aang5
gập	g aap5
gật	g aat5
gậu	g aau5
gậy	g aay5
gắc	g awc1
gắm	g awm1
gắn	g awn1
gắng	g awng1
gắp	g awp1
gắt	g awt1
gằm	g awm2
gằn	g awn2
gằng	g awng2
gẳm	g awm3
gẳn	g awn3
gẳng	g awng3
gẵm	g awm4
gẵn	g awn4
gẵng	g awng4
gặc	g awc5
gặm	g awm5
gặn	g awn5
gặng	g awng5
gặp	g awp5
gặt	g awt5
gết	g eet1
gỉ	gi i3
gỉa	g ia3
gỉm	g im3
gỉn	gi in3
gỉnh	g inh3
gỉu	g iu3
gị	gi i5
gịa	g ia5
gịch	g ich5
gịm	g im5
gịn	gi in5
gịnh	g inh5
gịp	g ip5
gịt	g it5
gịu	g iu5
gọ	g o5
gọc	g oc5
gọi	g oi5
gọm	g om5
gọn	g on5
gọng	g ong5
gọp	g op5
gọt	g ot5
gỏ	g o3
gỏi	g oi3
gỏm	g om3
gỏn	g on3
gỏng	g ong3
gố	g ob1
gốc	g obc1
gối	g obi1
gốm	g obm1
gốn	g obn1
gống	g obng1
gốp	g obp1
gốt	g obt1
gồ	g ob2
gồi	g obi2
gồm	g obm2
gồn	g obn2
gồng	g obng2
gổ	g ob3
gổi	g obi3
gổm	g obm3
gổn	g obn3
gổng	g obng3
gỗ	g ob4
gỗi	g obi4
gỗm	g obm4
gỗn	g obn4
gỗng	g obng4
gộ	g ob5
gộc	g obc5
gội	g obi5
gộm	g obm5
gộn	g obn5
gộng	g obng5
gộp	g obp5
gột	g obt5
gớ	g ow1
gới	g owi1
gớm	g owm1
gớn	g own1
gớp	g owp1
gớt	g owt1
gờ	g ow2
gời	g owi2
gờm	g owm2
gờn	g own2
gở	g ow3
gởi	g owi3
gởm	g owm3
gởn	g own3
gỡ	g ow4
gỡi	g owi4
gỡm	g owm4
gỡn	g own4
gợ	g ow5
gợi	g owi5
gợm	g owm5
gợn	g own5
gợp	g owp5
gợt	g owt5
gụ	g u5
gụa	g ua5
gục	g uc5
gụi	g ui5
gụm	g um5
gụn	g un5
gụng	g ung5
gụp	g up5
gụt	g ut5
gủ	g u3
gủa	g ua3
gủi	g ui3
gủm	g um3
gủn	g un3
gủng	g ung3
gứ	g uw1
gứa	g uwa1
gức	g uwc1
gứi	g uwi1
gứm	g uwm1
gứn	g uwn1
gứng	g uwng1
gứt	g uwt1
gứu	g uwu1
gừ	g uw2
gừa	g uwa2
gừi	g uwi2
gừm	g uwm2
gừn	g uwn2
gừng	g uwng2
gừu	g uwu2
gử	g uw3
gửa	g uwa3
gửi	g uwi3
gửm	g uwm3
gửn	g uwn3
gửng	g uwng3
gửu	g uwu3
gữ	g uw4
gữa	g uwa4
gữi	g uwi4
gữm	g uwm4
gữn	g uwn4
gững	g uwng4
gữu	g uwu4
gự	g uw5
gựa	g uwa5
gực	g uwc5
gựi	g uwi5
gựm	g uwm5
gựn	g uwn5
gựng	g uwng5
gựt	g uwt5
gựu	g uwu5
ha	h a
hai	h ai
ham	h am
han	h an
hang	h ang
hanh	h anh
hao	h ao
hau	h au
hay	h ay
he	h e
hem	h em
hen	h en
heng	h eng
heo	h eo
hi	h i
hia	h ia
him	h im
hin	h in
hinh	h inh
hiu	h iu
hiêm	h ieem
hiên	h ieen
hiêng	h ieeng
hiêu	h ieeu
hiếc	h ieec1
hiếm	h ieem1
hiến	h ieen1
hiếng	h ieeng1
hiếp	h ieep1
hiết	h ieet1
hiếu	h ieeu1
hiềm	h ieem2
hiền	h ieen2
hiềng	h ieeng2
hiều	h ieeu2
hiểm	h ieem3
hiển	h ieen3
hiểng	h ieeng3
hiểu	h ieeu3
hiễm	h ieem4
hiễn	h ieen4
hiễng	h ieeng4
hiễu	h ieeu4
hiệc	h ieec5
hiệm	h ieem5
hiện	h ieen5
hiệng	h ieeng5
hiệp	h ieep5
hiệt	h ieet5
hiệu	h ieeu5
ho	h o
hoa	h oa
hoai	h oai
hoam	h oam
hoan	h oan
hoang	h oang
hoanh	h oanh
hoao	h oao
hoay	h oay
hoe	h oe
hoem	h oem
hoen	h oen
hoeo	h oeo
hoi	h oi
hom	h om
hon	h on
hong	h ong
hoong	h oong
hoà	h oa2
hoài	h oai2
hoàm	h oam2
hoàn	h oan2
hoàng	h oang2
hoành	h oanh2
hoào	h oao2
hoày	h oay2
hoá	h oa1
hoác	h oac1
hoách	h oach1
hoái	h oai1
hoám	h oam1
hoán	h oan1
hoáng	h oang1
hoánh	h oanh1
hoáo	h oao1
hoáp	h oap1
hoát	h oat1
hoáy	h oay1
hoã	h oa4
hoãi	h oai4
hoãm	h oam4
hoãn	h oan4
hoãng	h oang4
hoãnh	h oanh4
hoão	h oao4
hoãy	h oay4
hoè	h oe2
hoèm	h oem2
hoèn	h oen2
hoèo	h oeo2
hoé	h oe1
hoém	h oem1
hoén	h oen1
hoéo	h oeo1
hoét	h oet1
hoòng	h oong2
hoóc	h ooc1
hoóng	h oong1
hoõng	h oong4
hoăm	h oawm
hoăn	h oawn
hoăng	h oawng
hoạ	h oa5
hoạc	h oac5
hoạch	h oach5
hoại	h oai5
hoạm	h oam5
hoạn	h oan5
hoạng	h oang5
hoạnh	h oanh5
hoạo	h oao5
hoạp	h oap5
hoạt	h oat5
hoạy	h oay5
hoả	h oa3
hoải	h oai3
hoảm	h oam3
hoản	h oan3
hoảng	h oang3
hoảnh	h oanh3
hoảo	h oao3
hoảy	h oay3
hoắc	h oawc1
hoắm	h oawm1
hoắn	h oawn1
hoắng	h oawng1
hoắt	h oawt1
hoằm	h oawm2
hoằn	h oawn2
hoằng	h oawng2
hoẳm	h oawm3
hoẳn	h oawn3
hoẳng	h oawng3
hoẵm	h oawm4
hoẵn	h oawn4
hoẵng	h oawng4
hoặc	h oawc5
hoặm	h oawm5
hoặn	h oawn5
hoặng	h oawng5
hoặt	h oawt5
hoẹ	h oe5
hoẹm	h oem5
hoẹn	h oen5
hoẹo	h oeo5
hoẹt	h oet5
hoẻ	h oe3
hoẻm	h oem3
hoẻn	h oen3
hoẻo	h oeo3
hoẽ	h oe4
hoẽm	h oem4
hoẽn	h oen4
hoẽo	h oeo4
hoọc	h ooc5
hoọng	h oong5
hoỏng	h oong3
hu	h u
hua	h ua
hui	h ui
hum	h um
hun	h un
hung	h ung
huoai	h uoai
huy	h uy
huya	h uya
huyn	h uyn
huynh	h uynh
huyu	h uyu
huyên	h uyeen
huyến	h uyeen1
huyết	h uyeet1
huyền	h uyeen2
huyển	h uyeen3
huyễn	h uyeen4
huyện	h uyeen5
huyệt	h uyeet5
huân	h uaan
huâng	h uaang
huây	h uaay
huê	h uee
huênh	h ueenh
huôi	h uobi
huôm	h uobm
huôn	h uobn
huông	h uobng
huý	h uy1
huýa	h uya1
huých	h uych1
huýn	h uyn1
huýnh	h uynh1
huýp	h uyp1
huýt	h uyt1
huýu	h uyu1
huơ	h uow
huấn	h uaan1
huấng	h uaang1
huất	h uaat1
huấy	h uaay1
huần	h uaan2
huầng	h uaang2
huầy	h uaay2
huẩn	h uaan3
huẩng	h uaang3
huẩy	h uaay3
huẫn	h uaan4
huẫng	h uaang4
huẫy	h uaay4
huận	h uaan5
huậng	h uaang5
huật	h uaat5
huậy	h uaay5
huế	h uee1
huếch	h ueech1
huếnh	h ueenh1
huề	h uee2
huềnh	h ueenh2
huể	h uee3
huểnh	h ueenh3
huễ	h uee4
huễnh	h ueenh4
huệ	h uee5
huệch	h ueech5
huệnh	h ueenh5
huốc	h uobc1
huối	h uobi1
huốm	h uobm1
huốn	h uobn1
huống	h uobng1
huốp	h uobp1
huốt	h uobt1
huồi	h uobi2
huồm	h uobm2
huồn	h uobn2
huồng	h uobng2
huổi	h uobi3
huổm	h uobm3
huổn	h uobn3
huổng	h uobng3
huỗi	h uobi4
huỗm	h uobm4
huỗn	h uobn4
huỗng	h uobng4
huộc	h uobc5
huội	h uobi5
huộm	h uobm5
huộn	h uobn5
huộng	h uobng5
huộp	h uobp5
huột	h uobt5
huớ	h uow1
huờ	h uow2
huở	h uow3
huỡ	h uow4
huợ	h uow5
huỳ	h uy2
huỳa	h uya2
huỳn	h uyn2
huỳnh	h uynh2
huỳu	h uyu2
huỵ	h uy5
huỵa	h uya5
huỵch	h uych5
huỵn	h uyn5
huỵnh	h uynh5
huỵp	h uyp5
huỵt	h uyt5
huỵu	h uyu5
huỷ	h uy3
huỷa	h uya3
huỷn	h uyn3
huỷnh	h uynh3
huỷu	h uyu3
huỹ	h uy4
huỹa	h uya4
huỹn	h uyn4
huỹnh	h uynh4
huỹu	h uyu4
hy	h y
hà	h a2
hài	h ai2
hàm	h am2
hàn	h an2
hàng	h ang2
hành	h anh2
hào	h ao2
hàu	h au2
hày	h ay2
há	h a1
hác	h ac1
hách	h ach1
hái	h ai1
hám	h am1
hán	h an1
háng	h ang1
hánh	h anh1
háo	h ao1
háp	h ap1
hát	h at1
háu	h au1
háy	h ay1
hâm	h aam
hân	h aan
hâng	h aang
hâu	h aau
hây	h aay
hã	h a4
hãi	h ai4
hãm	h am4
hãn	h an4
hãng	h ang4
hãnh	h anh4
hão	h ao4
hãu	h au4
hãy	h ay4
hè	h e2
hèm	h em2
hèn	h en2
hèng	h eng2
hèo	h eo2
hé	h e1
héc	h ec1
hém	h em1
hén	h en1
héng	h eng1
héo	h eo1
hép	h ep1
hét	h et1
hê	h ee
hêm	h eem
hên	h een
hênh	h eenh
hêu	h eeu
hì	h i2
hìa	h ia2
hìm	h im2
hìn	h in2
hình	h inh2
hìu	h iu2
hí	h i1
hía	h ia1
hích	h ich1
hím	h im1
hín	h in1
hính	h inh1
híp	h ip1
hít	h it1
híu	h iu1
hò	h o2
hòa	h oa2
hòe	h oe2
hòi	h oi2
hòm	h om2
hòn	h on2
hòng	h ong2
hó	h o1
hóa	h oa1
hóc	h oc1
hói	h oi1
hóm	h om1
hón	h on1
hóng	h ong1
hóp	h op1
hót	h ot1
hô	h ob
hôi	h obi
hôm	h obm
hôn	h obn
hông	h obng
hõ	h o4
hõa	h oa4
hõi	h oi4
hõm	h om4
hõn	h on4
hõng	h ong4
hù	h u2
hùa	h ua2
hùi	h ui2
hùm	h um2
hùn	h un2
hùng	h ung2
hú	h u1
húa	h ua1
húc	h uc1
húi	h ui1
húm	h um1
hún	h un1
húng	h ung1
húp	h up1
hút	h ut1
húy	h uy1
hý	h y1
hăm	h awm
hăn	h awn
hăng	h awng
hĩ	h i4
hĩa	h ia4
hĩm	h im4
hĩn	h in4
hĩnh	h inh4
hĩu	h iu4
hũ	h u4
hũa	h ua4
hũi	h ui4
hũm	h um4
hũn	h un4
hũng	h ung4
hơ	h ow
hơi	h owi
hơm	h owm
hơn	h own
hư	h uw
hưa	h uwa
hưi	h uwi
hưm	h uwm
hưn	h uwn
hưng	h uwng
hưu	h uwu
hươi	h uwowi
hươm	h uwowm
hươn	h uwown
hương	h uwowng
hươu	h uwowu
hước	h uwowc1
hưới	h uwowi1
hướm	h uwowm1
hướn	h uwown1
hướng	h uwowng1
hướp	h uwowp1
hướt	h uwowt1
hướu	h uwowu1
hười	h uwowi2
hườm	h uwowm2
hườn	h uwown2
hường	h uwowng2
hườu	h uwowu2
hưởi	h uwowi3
hưởm	h uwowm3
hưởn	h uwown3
hưởng	h uwowng3
hưởu	h uwowu3
hưỡi	h uwowi4
hưỡm	h uwowm4
hưỡn	h uwown4
hưỡng	h uwowng4
hưỡu	h uwowu4
hược	h uwowc5
hượi	h uwowi5
hượm	h uwowm5
hượn	h uwown5
hượng	h uwowng5
hượp	h uwowp5
hượt	h uwowt5
hượu	h uwowu5
hạ	h a5
hạc	h ac5
hạch	h ach5
hại	h ai5
hạm	h am5
hạn	h an5
hạng	h ang5
hạnh	h anh5
hạo	h ao5
hạp	h ap5
hạt	h at5
hạu	h au5
hạy	h ay5
hả	h a3
hải	h ai3
hảm	h am3
hản	h an3
hảng	h ang3
hảnh	h anh3
hảo	h ao3
hảu	h au3
hảy	h ay3
hấc	h aac1
hấm	h aam1
hấn	h aan1
hấng	h aang1
hấp	h aap1
hất	h aat1
hấu	h aau1
hấy	h aay1
hầm	h aam2
hần	h aan2
hầng	h aang2
hầu	h aau2
hầy	h aay2
hẩm	h aam3
hẩn	h aan3
hẩng	h aang3
hẩu	h aau3
hẩy	h aay3
hẫm	h aam4
hẫn	h aan4
hẫng	h aang4
hẫu	h aau4
hẫy	h aay4
hậc	h aac5
hậm	h aam5
hận	h aan5
hậng	h aang5
hập	h aap5
hật	h aat5
hậu	h aau5
hậy	h aay5
hắc	h awc1
hắm	h awm1
hắn	h awn1
hắng	h awng1
hắp	h awp1
hắt	h awt1
hằm	h awm2
hằn	h awn2
hằng	h awng2
hẳm	h awm3
hẳn	h awn3
hẳng	h awng3
hẵm	h awm4
hẵn	h awn4
hẵng	h awng4
hặc	h awc5
hặm	h awm5
hặn	h awn5
hặng	h awng5
hặp	h awp5
hặt	h awt5
hẹ	h e5
hẹc	h ec5
hẹm	h em5
hẹn	h en5
hẹng	h eng5
hẹo	h eo5
hẹp	h ep5
hẹt	h et5
hẻ	h e3
hẻm	h em3
hẻn	h en3
hẻng	h eng3
hẻo	h eo3
hẽ	h e4
hẽm	h em4
hẽn	h en4
hẽng	h eng4
hẽo	h eo4
hế	h ee1
hếch	h eech1
hếm	h eem1
hến	h een1
hếnh	h eenh1
hếp	h eep1
hết	h eet1
hếu	h eeu1
hề	h ee2
hềm	h eem2
hền	h een2
hềnh	h eenh2
hều	h eeu2
hể	h ee3
hểm	h eem3
hển	h een3
hểnh	h eenh3
hểu	h eeu3
hễ	h ee4
hễm	h eem4
hễn	h een4
hễnh	h eenh4
hễu	h eeu4
hệ	h ee5
hệch	h eech5
hệm	h eem5
hện	h een5
hệnh	h eenh5
hệp	h eep5
hệt	h eet5
hệu	h eeu5
hỉ	h i3
hỉa	h ia3
hỉm	h im3
hỉn	h in3
hỉnh	h inh3
hỉu	h iu3
hị	h i5
hịa	h ia5
hịch	h ich5
hịm	h im5
hịn	h in5
hịnh	h inh5
hịp	h ip5
hịt	h it5
hịu	h iu5
họ	h o5
họa	h oa5
học	h oc5
họe	h oe5
họi	h oi5
họm	h om5
họn	h on5
họng	h ong5
họp	h op5
họt	h ot5
hỏ	h o3
hỏa	h oa3
hỏi	h oi3
hỏm	h om3
hỏn	h on3
hỏng	h ong3
hố	h ob1
hốc	h obc1
hối	h obi1
hốm	h obm1
hốn	h obn1
hống	h obng1
hốp	h obp1
hốt	h obt1
hồ	h ob2
hồi	h obi2
hồm	h obm2
hồn	h obn2
hồng	h obng2
hổ	h ob3
hổi	h obi3
hổm	h obm3
hổn	h obn3
hổng	h obng3
hỗ	h ob4
hỗi	h obi4
hỗm	h obm4
hỗn	h obn4
hỗng	h obng4
hộ	h ob5
hộc	h obc5
hội	h obi5
hộm	h obm5
hộn	h obn5
hộng	h obng5
hộp	h obp5
hột	h obt5
hớ	h ow1
hới	h owi1
hớm	h owm1
hớn	h own1
hớp	h owp1
hớt	h owt1
hờ	h ow2
hời	h owi2
hờm	h owm2
hờn	h own2
hở	h ow3
hởi	h owi3
hởm	h owm3
hởn	h own3
hỡ	h ow4
hỡi	h owi4
hỡm	h owm4
hỡn	h own4
hợ	h ow5
hợi	h owi5
hợm	h owm5
hợn	h own5
hợp	h owp5
hợt	h owt5
hụ	h u5
hụa	h ua5
hục	h uc5
hụi	h ui5
hụm	h um5
hụn	h un5
hụng	h ung5
hụp	h up5
hụt	h ut5
hủ	h u3
hủa	h ua3
hủi	h ui3
hủm	h um3
hủn	h un3
hủng	h ung3
hủy	h uy3
hứ	h uw1
hứa	h uwa1
hức	h uwc1
hứi	h uwi1
hứm	h uwm1
hứn	h uwn1
hứng	h uwng1
hứt	h uwt1
hứu	h uwu1
hừ	h uw2
hừa	h uwa2
hừi	h uwi2
hừm	h uwm2
hừn	h uwn2
hừng	h uwng2
hừu	h uwu2
hử	h uw3
hửa	h uwa3
hửi	h uwi3
hửm	h uwm3
hửn	h uwn3
hửng	h uwng3
hửu	h uwu3
hữ	h uw4
hữa	h uwa4
hữi	h uwi4
hữm	h uwm4
hữn	h uwn4
hững	h uwng4
hữu	h uwu4
hự	h uw5
hựa	h uwa5
hực	h uwc5
hựi	h uwi5
hựm	h uwm5
hựn	h uwn5
hựng	h uwng5
hựt	h uwt5
hựu	h uwu5
hỳ	h y2
hỵ	h y5
hỷ	h y3
hỹ	h y4
i	0 i
ia	0 ia
im	0 im
in	0 in
inh	0 inh
iu	0 iu
iêm	0 ieem
iên	0 ieen
iêng	0 ieeng
iêu	0 ieeu
iếc	1 ieec1
iếm	1 ieem1
iến	1 ieen1
iếng	1 ieeng1
iếp	1 ieep1
iết	1 ieet1
iếu	1 ieeu1
iềm	2 ieem2
iền	2 ieen2
iềng	2 ieeng2
iều	2 ieeu2
iểm	3 ieem3
iển	3 ieen3
iểng	3 ieeng3
iểu	3 ieeu3
iễm	4 ieem4
iễn	4 ieen4
iễng	4 ieeng4
iễu	4 ieeu4
iệc	5 ieec5
iệm	5 ieem5
iện	5 ieen5
iệng	5 ieeng5
iệp	5 ieep5
iệt	5 ieet5
iệu	5 ieeu5
jang	j ang
jút	j ut1
jơ	j ow
ka	k a
kai	k ai
kan	k an
kang	k ang
kao	k ao
ke	k e
kem	k em
ken	k en
keng	k eng
keo	k eo
kha	kh a
khai	kh ai
kham	kh am
khan	kh an
khang	kh ang
khanh	kh anh
khao	kh ao
khau	kh au
khay	kh ay
khe	kh e
khem	kh em
khen	kh en
kheng	kh eng
kheo	kh eo
khi	kh i
khia	kh ia
khim	kh im
khin	kh in
khinh	kh inh
khiu	kh iu
khiêm	kh ieem
khiên	kh ieen
khiêng	kh ieeng
khiêu	kh ieeu
khiếc	kh ieec1
khiếm	kh ieem1
khiến	kh ieen1
khiếng	kh ieeng1
khiếp	kh ieep1
khiết	kh ieet1
khiếu	kh ieeu1
khiềm	kh ieem2
khiền	kh ieen2
khiềng	kh ieeng2
khiều	kh ieeu2
khiểm	kh ieem3
khiển	kh ieen3
khiểng	kh ieeng3
khiểu	kh ieeu3
